iter	Passed	Remaining
590	2431	1683
591	2435	1678
592	2439	1674
593	2444	1670
594	2448	1666
595	2452	1662
596	2456	1658
597	2460	1653
598	2464	1649
599	2468	1645
600	2472	1641
601	2476	1637
602	2480	1632
603	2484	1628
604	2488	1624
605	2492	1620
606	2496	1616
607	2500	1611
608	2504	1607
609	2508	1603
610	2512	1599
611	2515	1595
612	2519	1590
613	2523	1586
614	2526	1581
615	2530	1577
616	2534	1573
617	2538	1569
618	2542	1564
619	2546	1560
620	2550	1556
621	2554	1552
622	2558	1548
623	2562	1544
624	2566	1540
625	2571	1536
626	2575	1531
627	2579	1527
628	2583	1523
629	2587	1519
630	2591	1515
631	2594	1510
632	2600	1507
633	2604	1503
634	2608	1499
635	2612	1495
636	2617	1491
637	2621	1487
638	2625	1483
639	2631	1479
640	2635	1476
641	2639	1472
642	2644	1467
643	2648	1463
644	2651	1459
645	2655	1455
646	2659	1451
647	2663	1446
648	2667	1442
649	2671	1438
650	2675	1434
651	2679	1430
652	2683	1425
653	2687	1422
654	2691	1417
655	2695	1413
656	2700	1409
657	2704	1405
658	2708	1401
659	2712	1397
660	2716	1393
661	2720	1389
662	2724	1384
663	2729	1381
664	2733	1376
665	2736	1372
666	2740	1368
667	2744	1364
668	2748	1359
669	2752	1355
670	2756	1351
671	2760	1347
672	2764	1343
673	2768	1338
674	2772	1334
675	2776	1330
676	2779	1326
677	2783	1322
678	2787	1317
679	2791	1313
680	2796	1309
681	2799	1305
682	2803	1301
683	2807	1297
684	2811	1293
685	2815	1288
686	2819	1284
687	2823	1280
688	2828	1276
689	2832	1272
690	2836	1268
691	2841	1264
692	2845	1260
693	2849	1256
694	2853	1252
695	2857	1247
696	2860	1243
697	2865	1239
698	2869	1235
699	2873	1231
700	2876	1227
701	2880	1222
702	2884	1218
703	2888	1214
704	2893	1210
705	2898	1206
706	2903	1203
707	2908	1199
708	2913	1195
709	2917	1191
710	2921	1187
711	2926	1183
712	2930	1179
713	2934	1175
714	2938	1171
715	2942	1166
716	2946	1162
717	2950	1158
718	2954	1154
719	2960	1151
720	2964	1146
721	2967	1142
722	2971	1138
723	2976	1134
724	2979	1130
725	2984	1126
726	2987	1122
727	2991	1117
728	2995	1113
729	2999	1109
730	3003	1105
731	3008	1101
732	3012	1097
733	3016	1093
734	3021	1089
735	3025	1085
736	3029	1081
737	3033	1076
738	3037	1072
739	3041	1068
740	3045	1064
741	3049	1060
742	3053	1056
743	3057	1051
744	3060	1047
745	3064	1043
746	3068	1039
747	3072	1035
748	3076	1030
749	3080	1026
750	3085	1022
751	3089	1018
752	3093	1014
753	3097	1010
754	3101	1006
755	3105	1002
756	3109	998
757	3113	993
758	3117	989
759	3121	985
760	3124	981
761	3128	977
762	3133	973
763	3136	968
764	3141	964
765	3144	960
766	3148	956
767	3153	952
768	3157	948
769	3161	944
770	3166	940
771	3169	936
772	3173	932
773	3177	927
774	3181	923
775	3185	919
776	3190	915
777	3194	911
778	3198	907
779	3202	903
780	3206	899
781	3210	895
782	3214	890
783	3218	886
784	3222	882
785	3226	878
786	3230	874
787	3234	870
788	3238	866
789	3242	861
790	3246	857
791	3250	853
792	3254	849
793	3258	845
794	3262	841
795	3266	837
796	3270	832
797	3273	828
798	3277	824
799	3282	820
800	3286	816
801	3290	812
802	3294	808
803	3298	804
804	3302	799
805	3306	795
806	3309	791
807	3313	787
808	3317	783
809	3321	779
810	3326	775
811	3330	771
812	3334	767
813	3338	762
814	3342	758
815	3346	754
816	3350	750
817	3354	746
818	3358	742
819	3362	738
820	3368	734
821	3374	730
822	3379	726
823	3384	722
824	3387	718
825	3391	714
826	3396	710
827	3400	706
828	3404	702
829	3408	698
830	3412	694
831	3418	690
832	3422	686
833	3427	682
834	3431	678
835	3435	673
836	3438	669
837	3443	665
838	3449	661
839	3453	657
840	3458	653
841	3462	649
842	3466	645
843	3470	641
844	3473	637
845	3477	633
846	3481	628
847	3485	624
848	3491	620
849	3495	616
850	3499	612
851	3503	608
852	3507	604
853	3511	600
854	3515	596
855	3519	592
856	3523	587
857	3527	583
858	3531	579
859	3535	575
860	3539	571
861	3543	567
862	3547	563
863	3551	559
864	3555	554
865	3559	550
866	3564	546
867	3569	542
868	3573	538
869	3577	534
870	3582	530
871	3587	526
872	3591	522
873	3595	518
874	3599	514
875	3604	510
876	3608	506
877	3612	502
878	3616	497
879	3620	493
880	3624	489
881	3628	485
882	3632	481
883	3636	477
884	3640	473
885	3644	468
886	3648	464
887	3652	460
888	3656	456
889	3660	452
890	3664	448
891	3668	444
892	3673	440
893	3676	435
894	3680	431
895	3684	427
896	3688	423
897	3692	419
898	3696	415
899	3700	411
900	3704	407
901	3708	402
902	3712	398
903	3716	394
904	3720	390
905	3724	386
906	3728	382
907	3732	378
908	3737	374
909	3740	369
910	3745	365
911	3748	361
912	3752	357
913	3756	353
914	3760	349
915	3764	345
916	3768	341
917	3772	336
918	3775	332
919	3781	328
920	3785	324
921	3789	320
922	3793	316
923	3797	312
924	3801	308
925	3805	304
926	3809	300
927	3813	295
928	3817	291
929	3821	287
930	3825	283
931	3829	279
932	3833	275
933	3837	271
934	3841	267
935	3845	262
936	3849	258
937	3853	254
938	3857	250
939	3862	246
940	3867	242
941	3872	238
942	3876	234
943	3880	230
944	3883	226
945	3887	221
946	3891	217
947	3895	213
948	3900	209
949	3904	205
950	3907	201
951	3911	197
952	3915	193
953	3919	189
954	3924	184
955	3928	180
956	3933	176
957	3938	172
958	3943	168
959	3947	164
960	3951	160
961	3955	156
962	3959	152
963	3963	148
964	3967	143
965	3971	139
966	3975	135
967	3979	131
968	3983	127
969	3988	123
970	3992	119
971	3995	115
972	3999	110
973	4003	106
974	4007	102
975	4011	98
976	4015	94
977	4019	90
978	4023	86
979	4027	82
980	4031	78
981	4035	73
982	4039	69
983	4043	65
984	4047	61
985	4051	57
986	4055	53
987	4059	49
988	4063	45
989	4067	41
990	4071	36
991	4075	32
992	4079	28
993	4083	24
994	4087	20
995	4091	16
996	4095	12
997	4099	8
998	4104	4
999	4108	0
